time 	S 	I 	R 	V 	E
178.00 	449.64 	303.44 	38.29 	159.57 	49.06
179.00 	444.62 	307.28 	38.98 	159.88 	49.25
180.00 	439.60 	311.14 	39.67 	160.18 	49.42
181.00 	434.59 	314.99 	40.37 	160.47 	49.58
182.00 	429.59 	318.85 	41.08 	160.75 	49.72
183.00 	424.61 	322.70 	41.80 	161.03 	49.86
184.00 	419.63 	326.56 	42.53 	161.30 	49.98
185.00 	414.67 	330.41 	43.27 	161.56 	50.10
186.00 	409.72 	334.26 	44.01 	161.81 	50.19
187.00 	404.79 	338.11 	44.76 	162.06 	50.28
188.00 	399.87 	341.95 	45.52 	162.30 	50.36
189.00 	394.98 	345.79 	46.29 	162.53 	50.42
190.00 	390.10 	349.62 	47.06 	162.75 	50.47
191.00 	385.24 	353.44 	47.85 	162.97 	50.51
192.00 	380.40 	357.24 	48.64 	163.18 	50.53
193.00 	375.59 	361.04 	49.44 	163.38 	50.55
194.00 	370.80 	364.83 	50.25 	163.58 	50.55
195.00 	366.04 	368.60 	51.06 	163.77 	50.54
196.00 	361.30 	372.35 	51.89 	163.95 	50.51
197.00 	356.59 	376.09 	52.72 	164.12 	50.48
198.00 	351.91 	379.81 	53.56 	164.29 	50.43
199.00 	347.26 	383.52 	54.40 	164.45 	50.37
200.00 	342.64 	387.20 	55.26 	164.60 	50.30
201.00 	338.05 	390.87 	56.12 	164.75 	50.21
202.00 	333.50 	394.51 	56.99 	164.89 	50.12
203.00 	328.98 	398.13 	57.86 	165.02 	50.01
204.00 	324.49 	401.72 	58.74 	165.15 	49.89
205.00 	320.04 	405.29 	59.63 	165.27 	49.76
206.00 	315.63 	408.84 	60.53 	165.39 	49.62
207.00 	311.25 	412.35 	61.44 	165.50 	49.47
208.00 	306.91 	415.84 	62.35 	165.60 	49.30
209.00 	302.61 	419.30 	63.27 	165.69 	49.13
210.00 	298.35 	422.73 	64.19 	165.78 	48.95
211.00 	294.13 	426.13 	65.12 	165.86 	48.75
212.00 	289.95 	429.50 	66.06 	165.94 	48.55
213.00 	285.81 	432.84 	67.01 	166.01 	48.33
214.00 	281.71 	436.14 	67.96 	166.08 	48.11
215.00 	277.66 	439.41 	68.92 	166.14 	47.88
216.00 	273.65 	442.64 	69.88 	166.19 	47.64
217.00 	269.69 	445.83 	70.85 	166.24 	47.39
218.00 	265.77 	448.99 	71.83 	166.28 	47.13
219.00 	261.89 	452.12 	72.81 	166.32 	46.87
220.00 	258.06 	455.20 	73.79 	166.35 	46.59
221.00 	254.28 	458.25 	74.79 	166.37 	46.31
222.00 	250.54 	461.26 	75.79 	166.40 	46.02
223.00 	246.84 	464.23 	76.79 	166.41 	45.73
224.00 	243.20 	467.15 	77.80 	166.42 	45.43
225.00 	239.60 	470.04 	78.82 	166.43 	45.12
226.00 	236.05 	472.89 	79.84 	166.43 	44.80
227.00 	232.54 	475.69 	80.86 	166.42 	44.48
228.00 	229.09 	478.45 	81.89 	166.41 	44.16
229.00 	225.68 	481.17 	82.93 	166.40 	43.83
230.00 	222.31 	483.85 	83.96 	166.38 	43.49
231.00 	219.00 	486.49 	85.01 	166.35 	43.15
232.00 	215.73 	489.08 	86.06 	166.33 	42.81
233.00 	212.51 	491.62 	87.11 	166.29 	42.46
234.00 	209.34 	494.13 	88.17 	166.26 	42.11
235.00 	206.22 	496.59 	89.23 	166.21 	41.75
236.00 	203.14 	499.00 	90.29 	166.17 	41.40
237.00 	200.11 	501.37 	91.36 	166.12 	41.04
238.00 	197.13 	503.70 	92.43 	166.06 	40.67
239.00 	194.20 	505.98 	93.51 	166.01 	40.31
240.00 	191.31 	508.22 	94.59 	165.94 	39.94
241.00 	188.47 	510.41 	95.67 	165.88 	39.57
242.00 	185.67 	512.56 	96.76 	165.81 	39.20
243.00 	182.93 	514.66 	97.85 	165.73 	38.83
244.00 	180.23 	516.72 	98.94 	165.66 	38.45
245.00 	177.57 	518.74 	100.04 	165.58 	38.08
246.00 	174.96 	520.71 	101.13 	165.49 	37.71
247.00 	172.39 	522.63 	102.24 	165.40 	37.33
248.00 	169.87 	524.52 	103.34 	165.31 	36.96
249.00 	167.40 	526.35 	104.44 	165.22 	36.59
250.00 	164.97 	528.15 	105.55 	165.12 	36.21
251.00 	162.58 	529.90 	106.66 	165.02 	35.84
252.00 	160.23 	531.61 	107.78 	164.92 	35.47
253.00 	157.93 	533.27 	108.89 	164.81 	35.10
254.00 	155.67 	534.89 	110.01 	164.70 	34.73
255.00 	153.45 	536.47 	111.12 	164.59 	34.36
256.00 	151.28 	538.01 	112.24 	164.47 	33.99
257.00 	149.15 	539.51 	113.37 	164.35 	33.63
258.00 	147.05 	540.96 	114.49 	164.23 	33.27
259.00 	145.00 	542.37 	115.61 	164.11 	32.91
260.00 	142.99 	543.75 	116.74 	163.98 	32.55
261.00 	141.01 	545.08 	117.86 	163.85 	32.20
262.00 	139.08 	546.37 	118.99 	163.72 	31.84
263.00 	137.18 	547.62 	120.12 	163.59 	31.49
264.00 	135.32 	548.83 	121.25 	163.45 	31.15
265.00 	133.50 	550.01 	122.38 	163.31 	30.80
266.00 	131.72 	551.14 	123.51 	163.17 	30.46
267.00 	129.97 	552.24 	124.64 	163.03 	30.12
268.00 	128.26 	553.30 	125.77 	162.88 	29.79
269.00 	126.58 	554.33 	126.90 	162.73 	29.46
270.00 	124.94 	555.31 	128.04 	162.59 	29.13
271.00 	123.33 	556.27 	129.17 	162.43 	28.80
272.00 	121.75 	557.18 	130.30 	162.28 	28.48
273.00 	120.21 	558.06 	131.43 	162.13 	28.16
274.00 	118.71 	558.91 	132.57 	161.97 	27.85
275.00 	117.23 	559.72 	133.70 	161.81 	27.54
276.00 	115.79 	560.50 	134.83 	161.65 	27.23
277.00 	114.37 	561.24 	135.96 	161.49 	26.93
278.00 	112.99 	561.96 	137.09 	161.32 	26.63
279.00 	111.64 	562.64 	138.22 	161.16 	26.34
280.00 	110.32 	563.29 	139.35 	160.99 	26.05
281.00 	109.03 	563.90 	140.48 	160.82 	25.76
282.00 	107.76 	564.49 	141.61 	160.65 	25.48
283.00 	106.53 	565.05 	142.74 	160.48 	25.20
284.00 	105.32 	565.58 	143.86 	160.31 	24.93
285.00 	104.14 	566.08 	144.99 	160.14 	24.66
286.00 	102.99 	566.55 	146.11 	159.96 	24.39
287.00 	101.86 	566.99 	147.24 	159.79 	24.13
288.00 	100.76 	567.40 	148.36 	159.61 	23.87
289.00 	99.68 	567.79 	149.48 	159.43 	23.62
290.00 	98.63 	568.15 	150.60 	159.25 	23.37
291.00 	97.60 	568.49 	151.72 	159.07 	23.12
292.00 	96.60 	568.80 	152.84 	158.89 	22.88
293.00 	95.62 	569.08 	153.95 	158.70 	22.64
294.00 	94.66 	569.34 	155.07 	158.52 	22.41
295.00 	93.73 	569.58 	156.18 	158.33 	22.18
296.00 	92.81 	569.79 	157.29 	158.15 	21.95
297.00 	91.92 	569.98 	158.40 	157.96 	21.73
298.00 	91.06 	570.15 	159.51 	157.77 	21.52
299.00 	90.21 	570.30 	160.61 	157.59 	21.30
300.00 	89.38 	570.42 	161.71 	157.40 	21.09
301.00 	88.57 	570.52 	162.82 	157.21 	20.88
302.00 	87.78 	570.60 	163.92 	157.02 	20.68
303.00 	87.02 	570.66 	165.01 	156.82 	20.48
304.00 	86.27 	570.70 	166.11 	156.63 	20.29
305.00 	85.54 	570.73 	167.20 	156.44 	20.10
306.00 	84.82 	570.73 	168.29 	156.25 	19.91
307.00 	84.13 	570.71 	169.38 	156.05 	19.73
308.00 	83.45 	570.68 	170.47 	155.86 	19.55
309.00 	82.79 	570.63 	171.55 	155.66 	19.37
310.00 	82.14 	570.56 	172.64 	155.47 	19.19
311.00 	81.52 	570.47 	173.72 	155.27 	19.02
312.00 	80.90 	570.37 	174.79 	155.07 	18.86
313.00 	80.31 	570.25 	175.87 	154.88 	18.69
314.00 	79.73 	570.12 	176.94 	154.68 	18.53
315.00 	79.16 	569.97 	178.01 	154.48 	18.38
316.00 	78.61 	569.80 	179.08 	154.28 	18.22
317.00 	78.07 	569.62 	180.14 	154.08 	18.07
318.00 	77.55 	569.43 	181.21 	153.88 	17.93
319.00 	77.04 	569.22 	182.27 	153.69 	17.78
320.00 	76.55 	569.00 	183.32 	153.49 	17.64
321.00 	76.06 	568.77 	184.38 	153.29 	17.50
322.00 	75.59 	568.52 	185.43 	153.09 	17.37
323.00 	75.14 	568.26 	186.48 	152.89 	17.23
324.00 	74.69 	567.99 	187.53 	152.68 	17.11
325.00 	74.26 	567.71 	188.57 	152.48 	16.98
326.00 	73.84 	567.41 	189.61 	152.28 	16.85
327.00 	73.43 	567.11 	190.65 	152.08 	16.73
328.00 	73.03 	566.79 	191.68 	151.88 	16.61
329.00 	72.65 	566.46 	192.72 	151.68 	16.50
330.00 	72.27 	566.12 	193.74 	151.48 	16.38
331.00 	71.90 	565.78 	194.77 	151.27 	16.27
332.00 	71.55 	565.42 	195.79 	151.07 	16.16
333.00 	71.20 	565.05 	196.81 	150.87 	16.06
334.00 	70.87 	564.68 	197.83 	150.67 	15.95
335.00 	70.54 	564.29 	198.85 	150.47 	15.85
336.00 	70.23 	563.90 	199.86 	150.26 	15.75
337.00 	69.92 	563.49 	200.87 	150.06 	15.66
338.00 	69.62 	563.08 	201.87 	149.86 	15.56
339.00 	69.33 	562.66 	202.87 	149.66 	15.47
340.00 	69.05 	562.24 	203.87 	149.46 	15.38
341.00 	68.78 	561.80 	204.87 	149.25 	15.29
342.00 	68.52 	561.36 	205.86 	149.05 	15.20
343.00 	68.26 	560.92 	206.85 	148.85 	15.12
344.00 	68.02 	560.46 	207.84 	148.65 	15.04
345.00 	67.78 	560.00 	208.82 	148.44 	14.96
346.00 	67.54 	559.53 	209.81 	148.24 	14.88
347.00 	67.32 	559.06 	210.78 	148.04 	14.80
348.00 	67.10 	558.58 	211.76 	147.84 	14.72
349.00 	66.89 	558.09 	212.73 	147.64 	14.65
350.00 	66.68 	557.60 	213.70 	147.44 	14.58
351.00 	66.49 	557.11 	214.66 	147.23 	14.51
352.00 	66.30 	556.60 	215.62 	147.03 	14.44
353.00 	66.11 	556.10 	216.58 	146.83 	14.38
354.00 	65.93 	555.59 	217.54 	146.63 	14.31
355.00 	65.76 	555.07 	218.49 	146.43 	14.25
356.00 	65.60 	554.55 	219.44 	146.23 	14.18
357.00 	65.44 	554.03 	220.39 	146.03 	14.12
358.00 	65.28 	553.50 	221.33 	145.83 	14.06
359.00 	65.13 	552.96 	222.27 	145.63 	14.01
360.00 	64.99 	552.43 	223.20 	145.43 	13.95
361.00 	64.85 	551.89 	224.14 	145.23 	13.90
362.00 	64.72 	551.34 	225.07 	145.03 	13.84
363.00 	64.59 	550.80 	225.99 	144.83 	13.79
364.00 	64.47 	550.25 	226.92 	144.63 	13.74
365.00 	64.35 	549.69 	227.84 	144.43 	13.69
366.00 	64.24 	549.14 	228.75 	144.23 	13.64
367.00 	64.13 	548.58 	229.67 	144.03 	13.59
368.00 	64.02 	548.02 	230.58 	143.84 	13.55
369.00 	63.92 	547.45 	231.49 	143.64 	13.50
370.00 	63.83 	546.88 	232.39 	143.44 	13.46
371.00 	63.74 	546.31 	233.29 	143.24 	13.42
372.00 	63.65 	545.74 	234.19 	143.05 	13.37
373.00 	63.57 	545.17 	235.08 	142.85 	13.33
374.00 	63.49 	544.59 	235.97 	142.65 	13.29
375.00 	63.41 	544.02 	236.86 	142.46 	13.25
376.00 	63.34 	543.44 	237.75 	142.26 	13.22
377.00 	63.27 	542.85 	238.63 	142.06 	13.18
378.00 	63.21 	542.27 	239.51 	141.87 	13.14
379.00 	63.15 	541.69 	240.38 	141.67 	13.11
380.00 	63.09 	541.10 	241.25 	141.48 	13.08
381.00 	63.04 	540.52 	242.12 	141.28 	13.04
382.00 	62.99 	539.93 	242.99 	141.09 	13.01
383.00 	62.94 	539.34 	243.85 	140.90 	12.98
384.00 	62.89 	538.75 	244.71 	140.70 	12.95
385.00 	62.85 	538.16 	245.56 	140.51 	12.92
386.00 	62.81 	537.56 	246.42 	140.32 	12.89
387.00 	62.78 	536.97 	247.27 	140.12 	12.86
388.00 	62.75 	536.38 	248.11 	139.93 	12.83
389.00 	62.72 	535.78 	248.96 	139.74 	12.81
390.00 	62.69 	535.19 	249.80 	139.55 	12.78
391.00 	62.66 	534.59 	250.63 	139.36 	12.75
392.00 	62.64 	534.00 	251.47 	139.17 	12.73
393.00 	62.62 	533.40 	252.30 	138.98 	12.70
394.00 	62.60 	532.80 	253.12 	138.79 	12.68
395.00 	62.59 	532.21 	253.95 	138.60 	12.66
396.00 	62.58 	531.61 	254.77 	138.41 	12.64
397.00 	62.57 	531.01 	255.59 	138.22 	12.61
398.00 	62.56 	530.42 	256.40 	138.03 	12.59
399.00 	62.55 	529.82 	257.21 	137.84 	12.57
400.00 	62.55 	529.22 	258.02 	137.65 	12.55
401.00 	62.55 	528.62 	258.83 	137.47 	12.53
402.00 	62.55 	528.03 	259.63 	137.28 	12.51
403.00 	62.55 	527.43 	260.43 	137.09 	12.50
404.00 	62.56 	526.83 	261.23 	136.91 	12.48
405.00 	62.56 	526.24 	262.02 	136.72 	12.46
406.00 	62.57 	525.64 	262.81 	136.53 	12.44
407.00 	62.58 	525.05 	263.60 	136.35 	12.43
408.00 	62.59 	524.45 	264.38 	136.16 	12.41
409.00 	62.61 	523.86 	265.16 	135.98 	12.39
410.00 	62.62 	523.26 	265.94 	135.80 	12.38
411.00 	62.64 	522.67 	266.71 	135.61 	12.36
412.00 	62.66 	522.08 	267.48 	135.43 	12.35
413.00 	62.68 	521.49 	268.25 	135.25 	12.34
414.00 	62.70 	520.90 	269.02 	135.06 	12.32
415.00 	62.72 	520.30 	269.78 	134.88 	12.31
416.00 	62.75 	519.72 	270.54 	134.70 	12.30
417.00 	62.77 	519.13 	271.30 	134.52 	12.28
418.00 	62.80 	518.54 	272.05 	134.34 	12.27
419.00 	62.83 	517.95 	272.80 	134.16 	12.26
420.00 	62.86 	517.36 	273.55 	133.98 	12.25
421.00 	62.89 	516.78 	274.30 	133.80 	12.24
422.00 	62.92 	516.19 	275.04 	133.62 	12.23
423.00 	62.96 	515.61 	275.78 	133.44 	12.22
424.00 	62.99 	515.03 	276.51 	133.26 	12.21
425.00 	63.03 	514.45 	277.25 	133.08 	12.20
426.00 	63.07 	513.87 	277.98 	132.90 	12.19
427.00 	63.10 	513.29 	278.70 	132.73 	12.18
428.00 	63.14 	512.71 	279.43 	132.55 	12.17
429.00 	63.18 	512.13 	280.15 	132.37 	12.16
430.00 	63.23 	511.56 	280.87 	132.20 	12.15
431.00 	63.27 	510.98 	281.58 	132.02 	12.15
432.00 	63.31 	510.41 	282.30 	131.85 	12.14
433.00 	63.36 	509.84 	283.01 	131.67 	12.13
434.00 	63.40 	509.27 	283.71 	131.50 	12.12
435.00 	63.45 	508.70 	284.42 	131.32 	12.12
436.00 	63.49 	508.13 	285.12 	131.15 	12.11
437.00 	63.54 	507.56 	285.82 	130.98 	12.10
438.00 	63.59 	507.00 	286.51 	130.80 	12.10
439.00 	63.64 	506.43 	287.21 	130.63 	12.09
440.00 	63.69 	505.87 	287.90 	130.46 	12.08
441.00 	63.74 	505.31 	288.58 	130.29 	12.08
442.00 	63.79 	504.75 	289.27 	130.12 	12.07
443.00 	63.85 	504.19 	289.95 	129.95 	12.07
444.00 	63.90 	503.63 	290.63 	129.77 	12.06
445.00 	63.95 	503.08 	291.31 	129.60 	12.06
446.00 	64.01 	502.52 	291.98 	129.44 	12.05
447.00 	64.07 	501.97 	292.65 	129.27 	12.05
448.00 	64.12 	501.42 	293.32 	129.10 	12.04
449.00 	64.18 	500.87 	293.98 	128.93 	12.04
450.00 	64.24 	500.32 	294.65 	128.76 	12.04
451.00 	64.29 	499.77 	295.31 	128.59 	12.03
452.00 	64.35 	499.23 	295.97 	128.43 	12.03
453.00 	64.41 	498.68 	296.62 	128.26 	12.02
454.00 	64.47 	498.14 	297.27 	128.09 	12.02
455.00 	64.53 	497.60 	297.92 	127.93 	12.02
456.00 	64.59 	497.06 	298.57 	127.76 	12.01
457.00 	64.65 	496.52 	299.21 	127.60 	12.01
458.00 	64.71 	495.99 	299.85 	127.43 	12.01
459.00 	64.78 	495.45 	300.49 	127.27 	12.01
460.00 	64.84 	494.92 	301.13 	127.11 	12.00
461.00 	64.90 	494.39 	301.76 	126.94 	12.00
462.00 	64.97 	493.86 	302.39 	126.78 	12.00
463.00 	65.03 	493.33 	303.02 	126.62 	12.00
464.00 	65.09 	492.81 	303.65 	126.46 	11.99
465.00 	65.16 	492.28 	304.27 	126.29 	11.99
466.00 	65.22 	491.76 	304.89 	126.13 	11.99
467.00 	65.29 	491.24 	305.51 	125.97 	11.99
468.00 	65.36 	490.72 	306.13 	125.81 	11.99
469.00 	65.42 	490.20 	306.74 	125.65 	11.99
470.00 	65.49 	489.68 	307.35 	125.49 	11.98
471.00 	65.55 	489.17 	307.96 	125.33 	11.98
472.00 	65.62 	488.66 	308.57 	125.18 	11.98
473.00 	65.69 	488.14 	309.17 	125.02 	11.98
474.00 	65.76 	487.64 	309.77 	124.86 	11.98
475.00 	65.83 	487.13 	310.37 	124.70 	11.98
476.00 	65.89 	486.62 	310.96 	124.54 	11.98
477.00 	65.96 	486.12 	311.56 	124.39 	11.98
478.00 	66.03 	485.61 	312.15 	124.23 	11.98
479.00 	66.10 	485.11 	312.74 	124.08 	11.97
480.00 	66.17 	484.61 	313.32 	123.92 	11.97
481.00 	66.24 	484.11 	313.91 	123.77 	11.97
