time	S	I	R	V	E
583.00	73.60	441.96	361.47	110.85	12.12
584.00	73.67	441.62	361.85	110.73	12.12
585.00	73.74	441.29	362.23	110.61	12.12
586.00	73.81	440.96	362.61	110.49	12.13
587.00	73.88	440.63	362.99	110.38	12.13
588.00	73.95	440.30	363.36	110.26	12.13
589.00	74.02	439.97	363.74	110.14	12.13
590.00	74.09	439.64	364.11	110.02	12.14
591.00	74.15	439.32	364.48	109.91	12.14
592.00	74.22	439.00	364.85	109.79	12.14
593.00	74.29	438.67	365.22	109.68	12.14
594.00	74.36	438.35	365.58	109.56	12.14
595.00	74.43	438.03	365.95	109.45	12.15
596.00	74.49	437.71	366.31	109.33	12.15
597.00	74.56	437.40	366.67	109.22	12.15
598.00	74.63	437.08	367.03	109.10	12.15
599.00	74.70	436.77	367.39	108.99	12.16
600.00	74.76	436.45	367.75	108.88	12.16
601.00	74.83	436.14	368.11	108.76	12.16
602.00	74.90	435.83	368.46	108.65	12.16
603.00	74.96	435.52	368.81	108.54	12.16
604.00	75.03	435.21	369.16	108.43	12.17
605.00	75.10	434.91	369.51	108.31	12.17
606.00	75.16	434.60	369.86	108.20	12.17
607.00	75.23	434.30	370.21	108.09	12.17
608.00	75.30	433.99	370.55	107.98	12.18
609.00	75.36	433.69	370.90	107.87	12.18
610.00	75.43	433.39	371.24	107.76	12.18
611.00	75.49	433.09	371.58	107.65	12.18
612.00	75.56	432.80	371.92	107.54	12.18
613.00	75.62	432.50	372.26	107.43	12.19
614.00	75.69	432.21	372.60	107.32	12.19
615.00	75.75	431.91	372.93	107.21	12.19
616.00	75.82	431.62	373.26	107.10	12.19
617.00	75.88	431.33	373.60	107.00	12.20
618.00	75.95	431.04	373.93	106.89	12.20
619.00	76.01	430.75	374.26	106.78	12.20
620.00	76.08	430.46	374.59	106.67	12.20
621.00	76.14	430.17	374.91	106.57	12.20
622.00	76.20	429.89	375.24	106.46	12.21
623.00	76.27	429.61	375.56	106.35	12.21
624.00	76.33	429.32	375.89	106.25	12.21
625.00	76.40	429.04	376.21	106.14	12.21
626.00	76.46	428.76	376.53	106.04	12.21
627.00	76.52	428.48	376.85	105.93	12.22
628.00	76.59	428.20	377.16	105.83	12.22
629.00	76.65	427.93	377.48	105.72	12.22
630.00	76.71	427.65	377.80	105.62	12.22
631.00	76.77	427.38	378.11	105.52	12.23
632.00	76.84	427.10	378.42	105.41	12.23
633.00	76.90	426.83	378.73	105.31	12.23
634.00	76.96	426.56	379.04	105.21	12.23
635.00	77.02	426.29	379.35	105.10	12.23
636.00	77.08	426.02	379.66	105.00	12.24
637.00	77.15	425.75	379.96	104.90	12.24
638.00	77.21	425.49	380.27	104.80	12.24
639.00	77.27	425.22	380.57	104.70	12.24
640.00	77.33	424.96	380.87	104.59	12.25
641.00	77.39	424.70	381.17	104.49	12.25
642.00	77.45	424.43	381.47	104.39	12.25
643.00	77.51	424.17	381.77	104.29	12.25
644.00	77.57	423.91	382.07	104.19	12.25
645.00	77.63	423.66	382.36	104.09	12.26
646.00	77.69	423.40	382.66	103.99	12.26
647.00	77.75	423.14	382.95	103.89	12.26
648.00	77.81	422.89	383.24	103.79	12.26
649.00	77.87	422.63	383.53	103.70	12.26
650.00	77.93	422.38	383.82	103.60	12.27
651.00	77.99	422.13	384.11	103.50	12.27
652.00	78.05	421.88	384.40	103.40	12.27
653.00	78.11	421.63	384.68	103.30	12.27
654.00	78.17	421.38	384.97	103.21	12.27
655.00	78.23	421.13	385.25	103.11	12.28
656.00	78.29	420.89	385.53	103.01	12.28
657.00	78.35	420.64	385.82	102.92	12.28
658.00	78.40	420.40	386.10	102.82	12.28
659.00	78.46	420.15	386.37	102.72	12.28
660.00	78.52	419.91	386.65	102.63	12.29
661.00	78.58	419.67	386.93	102.53	12.29
662.00	78.64	419.43	387.20	102.44	12.29
663.00	78.69	419.19	387.48	102.34	12.29
664.00	78.75	418.95	387.75	102.25	12.29
665.00	78.81	418.72	388.02	102.16	12.30
666.00	78.86	418.48	388.29	102.06	12.30
667.00	78.92	418.25	388.56	101.97	12.30
668.00	78.98	418.01	388.83	101.87	12.30
669.00	79.03	417.78	389.10	101.78	12.30
670.00	79.09	417.55	389.37	101.69	12.31
671.00	79.15	417.32	389.63	101.60	12.31
672.00	79.20	417.09	389.89	101.50	12.31
673.00	79.26	416.86	390.16	101.41	12.31
674.00	79.31	416.63	390.42	101.32	12.31
675.00	79.37	416.41	390.68	101.23	12.32
676.00	79.43	416.18	390.94	101.14	12.32
677.00	79.48	415.95	391.20	101.04	12.32
678.00	79.54	415.73	391.46	100.95	12.32
679.00	79.59	415.51	391.71	100.86	12.32
680.00	79.65	415.29	391.97	100.77	12.33
681.00	79.70	415.07	392.22	100.68	12.33
682.00	79.76	414.85	392.47	100.59	12.33
683.00	79.81	414.63	392.73	100.50	12.33
684.00	79.86	414.41	392.98	100.41	12.33
685.00	79.92	414.19	393.23	100.33	12.34
686.00	79.97	413.98	393.48	100.24	12.34
687.00	80.03	413.76	393.73	100.15	12.34
688.00	80.08	413.55	393.97	100.06	12.34
689.00	80.13	413.33	394.22	99.97	12.34
690.00	80.19	413.12	394.46	99.88	12.35
691.00	80.24	412.91	394.71	99.80	12.35
692.00	80.29	412.70	394.95	99.71	12.35
693.00	80.34	412.49	395.19	99.62	12.35
694.00	80.40	412.28	395.43	99.54	12.35
695.00	80.45	412.07	395.67	99.45	12.36
696.00	80.50	411.87	395.91	99.36	12.36
697.00	80.55	411.66	396.15	99.28	12.36
698.00	80.61	411.46	396.39	99.19	12.36
699.00	80.66	411.25	396.62	99.11	12.36
700.00	80.71	411.05	396.86	99.02	12.36
701.00	80.76	410.85	397.09	98.94	12.37
702.00	80.81	410.65	397.32	98.85	12.37
703.00	80.86	410.45	397.56	98.77	12.37
704.00	80.91	410.25	397.79	98.68	12.37
705.00	80.96	410.05	398.02	98.60	12.37
706.00	81.02	409.85	398.25	98.51	12.38
707.00	81.07	409.65	398.47	98.43	12.38
708.00	81.12	409.46	398.70	98.35	12.38
709.00	81.17	409.26	398.93	98.26	12.38
710.00	81.22	409.07	399.15	98.18	12.38
711.00	81.27	408.87	399.38	98.10	12.38
712.00	81.32	408.68	399.60	98.02	12.39
713.00	81.37	408.49	399.82	97.93	12.39
714.00	81.42	408.30	400.04	97.85	12.39
715.00	81.47	408.11	400.26	97.77	12.39
716.00	81.51	407.92	400.48	97.69	12.39
717.00	81.56	407.73	400.70	97.61	12.40
718.00	81.61	407.54	400.92	97.53	12.40
719.00	81.66	407.36	401.14	97.45	12.40
720.00	81.71	407.17	401.35	97.36	12.40
721.00	81.76	406.99	401.57	97.28	12.40
722.00	81.81	406.80	401.78	97.20	12.40
723.00	81.85	406.62	402.00	97.12	12.41
724.00	81.90	406.44	402.21	97.04	12.41
725.00	81.95	406.25	402.42	96.97	12.41
726.00	82.00	406.07	402.63	96.89	12.41
727.00	82.04	405.89	402.84	96.81	12.41
728.00	82.09	405.71	403.05	96.73	12.41
729.00	82.14	405.53	403.26	96.65	12.42
730.00	82.19	405.36	403.47	96.57	12.42
731.00	82.23	405.18	403.67	96.49	12.42
732.00	82.28	405.00	403.88	96.42	12.42
733.00	82.33	404.83	404.08	96.34	12.42
734.00	82.37	404.65	404.29	96.26	12.42
735.00	82.42	404.48	404.49	96.18	12.43
736.00	82.46	404.31	404.69	96.11	12.43
737.00	82.51	404.14	404.89	96.03	12.43
738.00	82.56	403.96	405.09	95.95	12.43
739.00	82.60	403.79	405.29	95.88	12.43
740.00	82.65	403.62	405.49	95.80	12.43
741.00	82.69	403.45	405.69	95.72	12.44
742.00	82.74	403.29	405.89	95.65	12.44
743.00	82.78	403.12	406.09	95.57	12.44
744.00	82.83	402.95	406.28	95.50	12.44
745.00	82.87	402.78	406.48	95.42	12.44
746.00	82.92	402.62	406.67	95.35	12.44
747.00	82.96	402.45	406.86	95.27	12.45
748.00	83.01	402.29	407.06	95.20	12.45
749.00	83.05	402.13	407.25	95.13	12.45
750.00	83.09	401.96	407.44	95.05	12.45
751.00	83.14	401.80	407.63	94.98	12.45
752.00	83.18	401.64	407.82	94.90	12.45
753.00	83.23	401.48	408.01	94.83	12.46
754.00	83.27	401.32	408.19	94.76	12.46
755.00	83.31	401.16	408.38	94.68	12.46
756.00	83.36	401.01	408.57	94.61	12.46
757.00	83.40	400.85	408.75	94.54	12.46
758.00	83.44	400.69	408.94	94.47	12.46
759.00	83.48	400.54	409.12	94.39	12.47
760.00	83.53	400.38	409.30	94.32	12.47
761.00	83.57	400.23	409.49	94.25	12.47
762.00	83.61	400.07	409.67	94.18	12.47
763.00	83.65	399.92	409.85	94.11	12.47
764.00	83.70	399.77	410.03	94.04	12.47
765.00	83.74	399.61	410.21	93.97	12.47
766.00	83.78	399.46	410.39	93.90	12.48
767.00	83.82	399.31	410.56	93.83	12.48
768.00	83.86	399.16	410.74	93.75	12.48
769.00	83.90	399.01	410.92	93.68	12.48
770.00	83.94	398.86	411.09	93.61	12.48
771.00	83.99	398.72	411.27	93.55	12.48
772.00	84.03	398.57	411.44	93.48	12.49
773.00	84.07	398.42	411.62	93.41	12.49
774.00	84.11	398.28	411.79	93.34	12.49
775.00	84.15	398.13	411.96	93.27	12.49
776.00	84.19	397.99	412.13	93.20	12.49
777.00	84.23	397.84	412.30	93.13	12.49
778.00	84.27	397.70	412.47	93.06	12.49
779.00	84.31	397.56	412.64	92.99	12.50
780.00	84.35	397.42	412.81	92.93	12.50
781.00	84.39	397.28	412.98	92.86	12.50
782.00	84.43	397.14	413.15	92.79	12.50
783.00	84.47	397.00	413.31	92.72	12.50
784.00	84.51	396.86	413.48	92.66	12.50
785.00	84.54	396.72	413.64	92.59	12.50
786.00	84.58	396.58	413.81	92.52	12.51
787.00	84.62	396.44	413.97	92.46	12.51
788.00	84.66	396.31	414.14	92.39	12.51
789.00	84.70	396.17	414.30	92.32	12.51
790.00	84.74	396.03	414.46	92.26	12.51
791.00	84.78	395.90	414.62	92.19	12.51
792.00	84.81	395.76	414.78	92.13	12.51
793.00	84.85	395.63	414.94	92.06	12.52
794.00	84.89	395.50	415.10	91.99	12.52
795.00	84.93	395.37	415.26	91.93	12.52
796.00	84.96	395.23	415.42	91.86	12.52
797.00	85.00	395.10	415.57	91.80	12.52
798.00	85.04	394.97	415.73	91.74	12.52
799.00	85.08	394.84	415.89	91.67	12.52
800.00	85.11	394.71	416.04	91.61	12.53
801.00	85.15	394.58	416.20	91.54	12.53
802.00	85.19	394.45	416.35	91.48	12.53
803.00	85.22	394.33	416.50	91.42	12.53
804.00	85.26	394.20	416.66	91.35	12.53
805.00	85.30	394.07	416.81	91.29	12.53
806.00	85.33	393.95	416.96	91.23	12.53
807.00	85.37	393.82	417.11	91.16	12.54
808.00	85.40	393.70	417.26	91.10	12.54
809.00	85.44	393.57	417.41	91.04	12.54
810.00	85.48	393.45	417.56	90.97	12.54
811.00	85.51	393.33	417.71	90.91	12.54
812.00	85.55	393.20	417.86	90.85	12.54
813.00	85.58	393.08	418.00	90.79	12.54
814.00	85.62	392.96	418.15	90.73	12.54
815.00	85.65	392.84	418.30	90.66	12.55
816.00	85.69	392.72	418.44	90.60	12.55
817.00	85.72	392.60	418.59	90.54	12.55
818.00	85.76	392.48	418.73	90.48	12.55
819.00	85.79	392.36	418.88	90.42	12.55
820.00	85.83	392.24	419.02	90.36	12.55
821.00	85.86	392.13	419.16	90.30	12.55
822.00	85.89	392.01	419.30	90.24	12.56
823.00	85.93	391.89	419.44	90.18	12.56
824.00	85.96	391.78	419.59	90.12	12.56
825.00	86.00	391.66	419.73	90.06	12.56
826.00	86.03	391.55	419.87	90.00	12.56
827.00	86.06	391.43	420.00	89.94	12.56
828.00	86.10	391.32	420.14	89.88	12.56
829.00	86.13	391.20	420.28	89.82	12.56
830.00	86.16	391.09	420.42	89.76	12.57
831.00	86.20	390.98	420.56	89.70	12.57
832.00	86.23	390.87	420.69	89.64	12.57
833.00	86.26	390.76	420.83	89.58	12.57
834.00	86.29	390.65	420.96	89.53	12.57
835.00	86.33	390.54	421.10	89.47	12.57
836.00	86.36	390.43	421.23	89.41	12.57
837.00	86.39	390.32	421.37	89.35	12.57
838.00	86.42	390.21	421.50	89.29	12.58
839.00	86.46	390.10	421.63	89.24	12.58
840.00	86.49	389.99	421.76	89.18	12.58
841.00	86.52	389.88	421.89	89.12	12.58
842.00	86.55	389.78	422.03	89.07	12.58
843.00	86.58	389.67	422.16	89.01	12.58
844.00	86.61	389.57	422.29	88.95	12.58
845.00	86.65	389.46	422.42	88.89	12.58
846.00	86.68	389.36	422.54	88.84	12.59
847.00	86.71	389.25	422.67	88.78	12.59
848.00	86.74	389.15	422.80	88.73	12.59
849.00	86.77	389.04	422.93	88.67	12.59
850.00	86.80	388.94	423.05	88.61	12.59
851.00	86.83	388.84	423.18	88.56	12.59
852.00	86.86	388.74	423.31	88.50	12.59
853.00	86.89	388.64	423.43	88.45	12.59
854.00	86.92	388.54	423.56	88.39	12.59
855.00	86.95	388.44	423.68	88.34	12.60
856.00	86.98	388.34	423.80	88.28	12.60
857.00	87.01	388.24	423.93	88.23	12.60
858.00	87.04	388.14	424.05	88.17	12.60
859.00	87.07	388.04	424.17	88.12	12.60
860.00	87.10	387.94	424.29	88.06	12.60
861.00	87.13	387.84	424.42	88.01	12.60
862.00	87.16	387.75	424.54	87.96	12.60
863.00	87.19	387.65	424.66	87.90	12.60
864.00	87.22	387.55	424.78	87.85	12.61
865.00	87.25	387.46	424.90	87.79	12.61
866.00	87.28	387.36	425.01	87.74	12.61
867.00	87.30	387.27	425.13	87.69	12.61
868.00	87.33	387.17	425.25	87.63	12.61
869.00	87.36	387.08	425.37	87.58	12.61
870.00	87.39	386.98	425.48	87.53	12.61
871.00	87.42	386.89	425.60	87.48	12.61
872.00	87.45	386.80	425.72	87.42	12.61
873.00	87.48	386.71	425.83	87.37	12.62
874.00	87.50	386.61	425.95	87.32	12.62
875.00	87.53	386.52	426.06	87.27	12.62
876.00	87.56	386.43	426.18	87.21	12.62
877.00	87.59	386.34	426.29	87.16	12.62
878.00	87.61	386.25	426.40	87.11	12.62
879.00	87.64	386.16	426.52	87.06	12.62
880.00	87.67	386.07	426.63	87.01	12.62
881.00	87.70	385.98	426.74	86.96	12.62
882.00	87.72	385.89	426.85	86.91	12.63
883.00	87.75	385.81	426.96	86.85	12.63
884.00	87.78	385.72	427.07	86.80	12.63
885.00	87.80	385.63	427.18	86.75	12.63
886.00	87.83	385.54	427.29	86.70	12.63
887.00	87.86	385.46	427.40	86.65	12.63
888.00	87.88	385.37	427.51	86.60	12.63
889.00	87.91	385.29	427.62	86.55	12.63
890.00	87.94	385.20	427.73	86.50	12.63
891.00	87.96	385.12	427.84	86.45	12.63
892.00	87.99	385.03	427.94	86.40	12.64
893.00	88.01	384.95	428.05	86.35	12.64
894.00	88.04	384.86	428.16	86.30	12.64
895.00	88.07	384.78	428.26	86.25	12.64
896.00	88.09	384.70	428.37	86.20	12.64
897.00	88.12	384.61	428.47	86.15	12.64
898.00	88.14	384.53	428.58	86.11	12.64
899.00	88.17	384.45	428.68	86.06	12.64
900.00	88.19	384.37	428.78	86.01	12.64
901.00	88.22	384.29	428.89	85.96	12.64
902.00	88.24	384.21	428.99	85.91	12.65
903.00	88.27	384.13	429.09	85.86	12.65
904.00	88.29	384.05	429.20	85.82	12.65
905.00	88.32	383.97	429.30	85.77	12.65
906.00	88.34	383.89	429.40	85.72	12.65
907.00	88.37	383.81	429.50	85.67	12.65
908.00	88.39	383.73	429.60	85.62	12.65
909.00	88.42	383.65	429.70	85.58	12.65
910.00	88.44	383.58	429.80	85.53	12.65
911.00	88.47	383.50	429.90	85.48	12.65
912.00	88.49	383.42	430.00	85.43	12.65
913.00	88.51	383.35	430.10	85.39	12.66
914.00	88.54	383.27	430.20	85.34	12.66
915.00	88.56	383.19	430.29	85.29	12.66
916.00	88.58	383.12	430.39	85.25	12.66
917.00	88.61	383.04	430.49	85.20	12.66
918.00	88.63	382.97	430.58	85.15	12.66
919.00	88.66	382.89	430.68	85.11	12.66
920.00	88.68	382.82	430.78	85.06	12.66
921.00	88.70	382.75	430.87	85.02	12.66
922.00	88.72	382.67	430.97	84.97	12.66
923.00	88.75	382.60	431.06	84.92	12.67
924.00	88.77	382.53	431.16	84.88	12.67
925.00	88.79	382.46	431.25	84.83	12.67
926.00	88.82	382.38	431.34	84.79	12.67
927.00	88.84	382.31	431.44	84.74	12.67
928.00	88.86	382.24	431.53	84.70	12.67
929.00	88.88	382.17	431.62	84.65	12.67
930.00	88.91	382.10	431.71	84.61	12.67
931.00	88.93	382.03	431.81	84.56	12.67
932.00	88.95	381.96	431.90	84.52	12.67
933.00	88.97	381.89	431.99	84.47	12.67
934.00	88.99	381.82	432.08	84.43	12.67
935.00	89.02	381.75	432.17	84.39	12.68
936.00	89.04	381.68	432.26	84.34	12.68
937.00	89.06	381.62	432.35	84.30	12.68
938.00	89.08	381.55	432.44	84.25	12.68
939.00	89.10	381.48	432.53	84.21	12.68
940.00	89.12	381.41	432.62	84.17	12.68
941.00	89.15	381.35	432.70	84.12	12.68
942.00	89.17	381.28	432.79	84.08	12.68
943.00	89.19	381.21	432.88	84.04	12.68
944.00	89.21	381.15	432.97	83.99	12.68
945.00	89.23	381.08	433.05	83.95	12.68
946.00	89.25	381.02	433.14	83.91	12.68
947.00	89.27	380.95	433.23	83.86	12.69
948.00	89.29	380.89	433.31	83.82	12.69
949.00	89.31	380.82	433.40	83.78	12.69
950.00	89.33	380.76	433.48	83.74	12.69
951.00	89.35	380.69	433.57	83.69	12.69
952.00	89.38	380.63	433.65	83.65	12.69
953.00	89.40	380.57	433.74	83.61	12.69
954.00	89.42	380.50	433.82	83.57	12.69
955.00	89.44	380.44	433.91	83.52	12.69
956.00	89.46	380.38	433.99	83.48	12.69
957.00	89.48	380.32	434.07	83.44	12.69
958.00	89.50	380.26	434.15	83.40	12.69
959.00	89.52	380.19	434.24	83.36	12.70
960.00	89.54	380.13	434.32	83.32	12.70
961.00	89.56	380.07	434.40	83.28	12.70
962.00	89.57	380.01	434.48	83.23	12.70
963.00	89.59	379.95	434.56	83.19	12.70
964.00	89.61	379.89	434.64	83.15	12.70
965.00	89.63	379.83	434.72	83.11	12.70
966.00	89.65	379.77	434.80	83.07	12.70
967.00	89.67	379.71	434.88	83.03	12.70
968.00	89.69	379.65	434.96	82.99	12.70
969.00	89.71	379.60	435.04	82.95	12.70
970.00	89.73	379.54	435.12	82.91	12.70
971.00	89.75	379.48	435.20	82.87	12.70
972.00	89.77	379.42	435.28	82.83	12.71
973.00	89.78	379.36	435.36	82.79	12.71
974.00	89.80	379.31	435.43	82.75	12.71
975.00	89.82	379.25	435.51	82.71	12.71
976.00	89.84	379.19	435.59	82.67	12.71
977.00	89.86	379.14	435.67	82.63	12.71
978.00	89.88	379.08	435.74	82.59	12.71
979.00	89.89	379.03	435.82	82.55	12.71
980.00	89.91	378.97	435.89	82.51	12.71
981.00	89.93	378.91	435.97	82.47	12.71
982.00	89.95	378.86	436.05	82.43	12.71
983.00	89.97	378.80	436.12	82.39	12.71
984.00	89.98	378.75	436.20	82.36	12.71
985.00	90.00	378.70	436.27	82.32	12.71
986.00	90.02	378.64	436.34	82.28	12.72
987.00	90.04	378.59	436.42	82.24	12.72
988.00	90.06	378.54	436.49	82.20	12.72
989.00	90.07	378.48	436.56	82.16	12.72
990.00	90.09	378.43	436.64	82.12	12.72
991.00	90.11	378.38	436.71	82.09	12.72
992.00	90.12	378.32	436.78	82.05	12.72
993.00	90.14	378.27	436.86	82.01	12.72
994.00	90.16	378.22	436.93	81.97	12.72
995.00	90.18	378.17	437.00	81.94	12.72
996.00	90.19	378.12	437.07	81.90	12.72
997.00	90.21	378.07	437.14	81.86	12.72
998.00	90.23	378.01	437.21	81.82	12.72
999.00	90.24	377.96	437.28	81.79	12.72
1000.00	90.26	377.91	437.35	81.75	12.73
